SkivID,Titel,Label,SkivTypID,UtgivningsAr,ImageUrlSmall,ImageUrlBig,ImageUrlBigBack
81,"Tänd Ett Ljus","Frituna 1493 1",2,1999,,,
82,"Emelie","Frituna 1514 1",2,2001,,,
83,"När Gässen Återvänder","Frituna 1522 1",2,2001,,,
84,"Låt En Morgon Vakna","Frituna 1542 1",2,2002,,,
85,"Ingenting Mer","Frituna 1557 1",2,2003,,,
86,"När Countryn Kom Till SKåne","Frituna/EMI  0946 370307-2-1",2,2006,,,
87,"Tårar Från Himlen","Warner Music Sw. AB ISRC SEPQM0717060",2,2007,,,
88,"Vart Tog Tiden Vägen","Frituna 50999 520242-2-1",1,2008,"/images/diskografi/thumbnails/2008.Vart tog tiden vägen.Framsida.jpg","/images/diskografi/images/2008.Vart tog tiden vägen.Framsida.jpg","/images/diskografi/images/2008.Vart tog tiden vägen.Baksida.jpg"
89,"En Vän Som Du","Frituna 50999 243173-2-0",1,2008,"/images/diskografi/thumbnails/2008.En vän som du.Framsida.jpg","/images/diskografi/images/2008.En vän som du.Framsida.jpg","/images/diskografi/images/2008.En vän som du.Baksida.jpg"
90,"Truck Stop","Warner Music Sweden 5051865-4507-2-6",1,2009,"/images/diskografi/thumbnails/2009.Truck Stop.Framsida.jpg","/images/diskografi/images/2009.Truck Stop.Framsida.jpg","/images/diskografi/images/2009.Truck Stop.Baksida.jpg"
91,"Texas","Warner Music Sweden AB",1,2010,"/images/diskografi/thumbnails/2010.Texas.Framsida.jpg","/images/diskografi/images/2010.Texas.Framsida.jpg","/images/diskografi/images/2010.Texas.Baksida.jpg"
92,"SvängJul","Warner Music Sweden AB 5051865-0797-2-9",1,2008,"/images/diskografi/thumbnails/2008.Sväng Jul.Framsida.jpg","/images/diskografi/images/2008.Sväng Jul.Framsida.jpg","/images/diskografi/images/2008.Sväng Jul.Baksida.jpg"
93,"Lasse Stefanz 70´s","Lasse Stefanz 70´s",1,2011,"/images/diskografi/thumbnails/2011.70s.Framsida.jpg","/images/diskografi/images/2011.70s.Framsida.jpg",
94,"Cuba Libre","Cuba Libre",1,2011,"/images/diskografi/thumbnails/2011.CubaLibre.Framsida.jpg","/images/diskografi/images/2011.CubaLibre.Framsida.jpg",
95,"Rocky Mountains",,1,2012,"/images/diskografi/thumbnails/2012.RockyMountains.Framsida.jpg","/images/diskografi/images/2012.RockyMountains.Framsida.jpg",
